WebQTrn-704	where is eu headquarters located ?	[ headquarters_location ] of @wd . organization ( ) filter id == " Q458 " ^^wd:organization ;
WebQTrn-708	what countries are in the andean region ?	[ country ] of @wd . landform ( ) filter id == " Q5456 " ^^wd:landform ;
WebQTrn-714	what year did pete rose play ?	[ work_period_start_ ] of @wd . human ( ) filter id == " Q739866 " ^^wd:human ;
WebQTrn-715	where does kyla ross live ?	[ residence ] of @wd . human ( ) filter id == " Q602218 " ^^wd:human ;
WebQTrn-729	what 4 countries make up great britain ?	[ contains_administrative_territorial_entity ] of @wd . country ( ) filter id == " Q145 " ^^wd:country ;
WebQTrn-738	what did the scientist thomson discover ?	@wd . entity ( ) filter contains ( discoverer_or_inventor , " Q47285 " ^^wd:p_discoverer_or_inventor ) ;
WebQTrn-740	where did martin luther king junior go to college ?	[ educated_at : Entity ( wd:university ) ] of @wd . human ( ) filter id == " Q8027 " ^^wd:human ;
WebQTrn-743	what did julian fellowes write ?	@wd . entity ( ) filter contains ( creator , " Q336018 " ^^wd:p_creator ) ;
WebQTrn-746	who was married to lance armstrong ?	[ spouse ] of @wd . human ( ) filter id == " Q2172 " ^^wd:human ;
WebQTrn-753	who does john beck play for ?	[ member_of_sports_team ] of @wd . human ( ) filter id == " Q6221292 " ^^wd:human ;
WebQTrn-756	where did robbie hummel go to high school ?	[ educated_at : Entity ( wd:high_school ) ] of @wd . human ( ) filter id == " Q1571580 " ^^wd:human ;
WebQTrn-758	who owns the cleveland browns ?	[ owned_by ] of @wd . sports_team ( ) filter id == " Q223527 " ^^wd:sports_team ;
WebQTrn-766	where does liz mcclarnon live ?	[ residence ] of @wd . human ( ) filter id == " Q258010 " ^^wd:human ;
WebQTrn-776	what college did joe namath go to ?	[ educated_at : Entity ( wd:higher_education_institution ) ] of @wd . human ( ) filter id == " Q720558 " ^^wd:human ;
WebQTrn-785	what years did barry bonds play ?	[ participant_in ] of @wd . human ( ) filter id == " Q314712 " ^^wd:human ;
WebQTrn-792	who owns skywest ?	[ parent_organization ] of @wd . airline ( ) filter id == " Q773662 " ^^wd:airline ;
WebQTrn-796	where do logan browning live ?	[ residence ] of @wd . human ( ) filter id == " Q1965719 " ^^wd:human ;
WebQTrn-800	where is lake waynoka ohio ?	[ located_in_the_administrative_territorial_entity ] of @wd . reservoir ( ) filter id == " Q111977403 " ^^wd:reservoir ;
WebQTrn-806	where are the pyramids of giza located ?	[ located_in_the_administrative_territorial_entity ] of @wd . location ( ) filter id == " Q13217298 " ^^wd:location ;
WebQTrn-811	what province is canada ' s capital located in ?	[ located_in_the_administrative_territorial_entity : Entity ( wd:province ) ] of @wd . entity ( ) filter in_array ( id , any ( [ capital ] of @wd . country ( ) filter id == " Q16 " ^^wd:country ) ) ;
WebQTrn-816	what college did kerry collins ?	[ educated_at : Entity ( wd:higher_education_institution ) ] of @wd . human ( ) filter id == " Q3195497 " ^^wd:human ;
WebQTrn-821	what are all the songs nicki minaj is in ?	@wd . entity ( ) filter contains ( performer , " Q162202 " ^^wd:p_performer ) ;
WebQTrn-823	what college did magic johnson go to ?	[ educated_at : Entity ( wd:higher_education_institution ) ] of @wd . human ( ) filter id == " Q134183 " ^^wd:human ;
WebQTrn-825	what to see in chicago downtown ?	@wd . tourist_attraction ( ) filter contains ( located_in_the_administrative_territorial_entity , " Q1297 " ^^wd:p_located_in_the_administrative_territorial_entity ) ;
