WebQTrn-524	where do houston aeros play ?	[ home_venue ] of @wd . sports_team ( ) filter id == " Q503228 " ^^wd:sports_team ;
WebQTrn-529	what is pennsylvania ' s state flower called ?	[ official_symbol filter object_has_role == " Q506 " ^^wd:p_object_has_role ] of @wd . entity ( ) filter id == " Q1400 " ^^wd:entity ;
WebQTrn-531	what religions are found in australia ?	[ religion_or_worldview ] of @wd . entity ( ) filter id == " Q408 " ^^wd:entity ;
WebQTrn-532	what college did drew bledsoe ?	[ educated_at : Entity ( wd:higher_education_institution ) ] of @wd . human ( ) filter id == " Q927434 " ^^wd:human ;
WebQTrn-535	what is guatemala current system of government ?	[ basic_form_of_government ] of @wd . country ( ) filter id == " Q774 " ^^wd:country ;
WebQTrn-538	which countries does russia border ?	[ shares_border_with ] of @wd . country ( ) filter id == " Q159 " ^^wd:country ;
WebQTrn-552	when was bill clinton elected president ?	[ start_time of ( position_held filter value == " Q1467287 " ^^wd:p_position_held ) ] of @wd . human ( ) filter id == " Q1124 " ^^wd:human ;
WebQTrn-559	what college did james franco go to ?	[ educated_at : Entity ( wd:higher_education_institution ) ] of @wd . human ( ) filter id == " Q306403 " ^^wd:human ;
WebQTrn-564	what religion was john f kennedy ?	[ religion_or_worldview ] of @wd . human ( ) filter id == " Q9696 " ^^wd:human ;
WebQTrn-565	where was the earthquake in chile 2010 ?	[ location ] of @wd . entity ( ) filter id == " Q151835 " ^^wd:entity ;
WebQTrn-571	where did kate middleton go to prep school ?	[ educated_at : Entity ( wd:preparatory_school ) ] of @wd . human ( ) filter id == " Q10479 " ^^wd:human ;
WebQTrn-574	what is the very first harry potter book ?	sort ( publication_date asc of @wd . entity ( ) filter contains ( part_of_the_series , " Q8337 " ^^wd:p_part_of_the_series ) ) [ 1 ] ;
WebQTrn-596	what state was texaco gas founded ?	[ located_in_the_administrative_territorial_entity : Entity ( wd:us_state ) ] of @wd . entity ( ) filter in_array ( id , any ( [ location_of_formation ] of @wd . organization ( ) filter id == " Q775060 " ^^wd:organization ) ) ;
WebQTrn-612	where is the 2012 ncaa basketball tournament ?	[ country ] of @wd . recurring_event ( ) filter id == " Q2948731 " ^^wd:recurring_event ;
WebQTrn-614	where are the seneca indians now ?	[ location ] of @wd . entity ( ) filter id == " Q213422 " ^^wd:entity ;
WebQTrn-615	what did farrah dad do ?	[ occupation ] of @wd . entity ( ) filter in_array ( id , any ( [ father ] of @wd . human ( ) filter id == " Q102341 " ^^wd:human ) ) ;
WebQTrn-618	what college did lil wayne graduated from ?	[ educated_at : Entity ( wd:higher_education_institution ) ] of @wd . human ( ) filter id == " Q15615 " ^^wd:human ;
WebQTrn-620	who does kurt busch drive for now ?	[ member_of_sports_team ] of @wd . human ( ) filter id == " Q201820 " ^^wd:human ;
WebQTrn-621	what years did the knicks win the championship ?	[ point_in_time ] of @wd . entity ( ) filter instance_of == " Q842375 " ^^wd:entity_subdomain && contains ( winner , " Q131364 " ^^wd:p_winner ) ;
WebQTrn-624	what state did thomas jefferson live in ?	[ residence : Entity ( wd:us_state ) ] of @wd . human ( ) filter id == " Q11812 " ^^wd:human ;
WebQTrn-630	what was the name of wright brothers plane ?	@wd . entity ( ) filter contains ( developer , " Q35820 " ^^wd:p_developer ) && instance_of == " Q197 " ^^wd:entity_subdomain ;
WebQTrn-631	where is located university of leeds ?	[ headquarters_location ] of @wd . higher_education_institution ( ) filter id == " Q503424 " ^^wd:higher_education_institution ;
WebQTrn-654	what was the title of the first book dr . seuss wrote ?	sort ( inception asc of @wd . entity ( ) filter contains ( author , " Q298685 " ^^wd:p_author ) ) [ 1 ] ;
WebQTrn-659	where does joey king live ?	[ residence ] of @wd . human ( ) filter id == " Q112536 " ^^wd:human ;
WebQTrn-673	what is the jurisdiction of the us supreme court ?	[ applies_to_jurisdiction ] of @wd . government_organization ( ) filter id == " Q11201 " ^^wd:government_organization ;
WebQTrn-674	what voice does hank azaria do on the simpsons ?	[ character_role of ( voice_actor filter value == " Q202056 " ^^wd:p_voice_actor ) ] of @wd . television_series ( ) filter id == " Q886 " ^^wd:television_series ;
WebQTrn-679	what branch is made up of the house of representatives ?	[ part_of ] of @wd . organization ( ) filter id == " Q11701 " ^^wd:organization ;
WebQTrn-681	where did chancellorsville battle take place ?	[ location ] of @wd . entity ( ) filter id == " Q745979 " ^^wd:entity ;
