WebQTrn-1276	where is german an official language ?	@wd . country ( ) filter contains ( official_language , " Q188 " ^^wd:p_official_language ) ;
WebQTrn-1284	what blood disease does robin roberts have ?	[ medical_condition ] of @wd . human ( ) filter id == " Q2041541 " ^^wd:human && contains ( medical_condition , any ( [ id ] of @wd . entity ( ) filter instance_of == " Q12136 " ^^wd:entity_subdomain && contains ( health_specialty , " Q103824 " ^^wd:p_health_specialty ) ) ) ;
WebQTrn-1291	what places made up the western roman empire ?	@wd . administrative_territorial_entity ( ) filter contains ( country , " Q42834 " ^^wd:p_country ) && instance_of == " Q182547 " ^^wd:administrative_territorial_entity_subdomain ;
WebQTrn-1295	what is the king of spain ' s name ?	[ head_of_state ] of @wd . entity ( ) filter id == " Q29 " ^^wd:entity ;
WebQTrn-1304	what did bruce jenner win gold for ?	[ participant_in filter award_received == " Q15243387 " ^^wd:p_award_received ] of @wd . human ( ) filter id == " Q365144 " ^^wd:human ;
WebQTrn-1310	who plays the voice of kovu ?	[ voice_actor filter character_role == " Q10314672 " ^^wd:p_character_role ] of @wd . entity ( ) ;
WebQTrn-1317	where is the portuguese language derived from ?	[ subclass_of ] of @wd . entity ( ) filter id == " Q5146 " ^^wd:entity ;
WebQTrn-1318	what 5 countries border ethiopia ?	[ shares_border_with ] of ( @wd . country ( ) filter id == " Q115 " ^^wd:country ) [ 5 ] ;
WebQTrn-1321	what city is the university of maryland university college in ?	[ located_in_the_administrative_territorial_entity : Entity ( wd:city ) ] of @wd . higher_education_institution ( ) filter id == " Q503415 " ^^wd:higher_education_institution ;
WebQTrn-1330	what state is kaplan university online located ?	[ located_in_the_administrative_territorial_entity : Entity ( wd:us_state ) ] of @wd . educational_organization ( ) filter id == " Q6366831 " ^^wd:educational_organization ;
WebQTrn-1335	what inspired steinbeck to write ?	[ influenced_by ] of @wd . human ( ) filter id == " Q39212 " ^^wd:human ;
WebQTrn-1337	where did gareth southgate play ?	[ member_of_sports_team ] of @wd . human ( ) filter id == " Q316681 " ^^wd:human ;
WebQTrn-1339	where is the bank of america pavilion ?	[ located_in_the_administrative_territorial_entity ] of @wd . theater ( ) filter id == " Q4856037 " ^^wd:theater ;
WebQTrn-1367	what does sammy hagar sing ?	@wd . entity ( ) filter contains ( performer , " Q435780 " ^^wd:p_performer ) ;
WebQTrn-1371	who makes lois griffin voice ?	[ voice_actor filter character_role == " Q853073 " ^^wd:p_character_role ] of @wd . entity ( ) ;
WebQTrn-1378	who does malcom floyd play for ?	[ member_of_sports_team ] of @wd . human ( ) filter id == " Q6742746 " ^^wd:human ;
WebQTrn-1381	what did kourtney kardashian go to college for ?	[ educated_at . academic_major ] of @wd . human ( ) filter id == " Q575689 " ^^wd:human ;
WebQTrn-1387	what year did allen iverson get married ?	[ spouse . start_time ] of @wd . human ( ) filter id == " Q190094 " ^^wd:human ;
WebQTrn-1389	who did lamar odom sign with ?	[ member_of_sports_team ] of @wd . human ( ) filter id == " Q296403 " ^^wd:human ;
WebQTrn-1399	what country is next to russia ?	[ shares_border_with ] of @wd . country ( ) filter id == " Q159 " ^^wd:country ;
WebQTrn-1403	what university did bill clinton graduated from ?	[ educated_at : Entity ( wd:higher_education_institution ) ] of @wd . human ( ) filter id == " Q1124 " ^^wd:human ;
WebQTrn-1406	when did the ny knicks last win a championship ?	[ point_in_time ] of sort ( point_in_time desc of @wd . entity ( ) filter instance_of == " Q842375 " ^^wd:entity_subdomain && contains ( winner , " Q131364 " ^^wd:p_winner ) ) [ 1 ] ;
WebQTrn-1409	what country do arabic people come from ?	@wd . country ( ) filter contains ( ethnic_group , " Q35323 " ^^wd:p_ethnic_group ) ;
WebQTrn-1416	what website did mark zuckerberg co founder ?	@wd . website ( ) filter contains ( founded_by , " Q36215 " ^^wd:p_founded_by ) ;
