WebQTrn-243	what style of art is salvador dali ?	[ genre ] of @wd . human ( ) filter id == " Q5577 " ^^wd:human ;
WebQTrn-246	what are the three major rivers in south america ?	sort ( length desc of @wd . river ( ) filter contains ( continent , " Q18 " ^^wd:p_continent ) ) [ 3 ] ;
WebQTrn-254	what three countries does mexico border ?	[ shares_border_with ] of @wd . country ( ) filter id == " Q96 " ^^wd:country ;
WebQTrn-265	what sport does rebecca adlington compete in ?	[ sport ] of @wd . entity ( ) filter id == " Q49287 " ^^wd:entity ;
WebQTrn-272	where was the battle of antietam creek ?	[ location ] of @wd . entity ( ) filter id == " Q719252 " ^^wd:entity ;
WebQTrn-283	what year did william mckinley became president ?	[ start_time of ( position_held filter value == " Q11696 " ^^wd:p_position_held ) ] of @wd . human ( ) filter id == " Q35041 " ^^wd:human ;
WebQTrn-284	what date did kennedy become president ?	[ start_time of ( position_held filter value == " Q11696 " ^^wd:p_position_held ) ] of @wd . human ( ) filter id == " Q9696 " ^^wd:human ;
WebQTrn-286	who owns aston martin 2012 ?	[ owned_by ] of @wd . entity ( ) filter id == " Q63049904 " ^^wd:entity ;
WebQTrn-287	what disease has jack osbourne got ?	[ medical_condition ] of @wd . human ( ) filter id == " Q724791 " ^^wd:human ;
WebQTrn-290	what language they speak in taiwan ?	[ language_used ] of @wd . administrative_territorial_entity ( ) filter id == " Q865 " ^^wd:administrative_territorial_entity ;
WebQTrn-291	who owns the toronto maple leafs ?	[ owned_by ] of @wd . sports_team ( ) filter id == " Q203384 " ^^wd:sports_team ;
WebQTrn-296	where was the ancient region of mesopotamia ?	[ location ] of @wd . entity ( ) filter id == " Q11767 " ^^wd:entity ;
WebQTrn-297	who was real housewives brandi married to ?	[ spouse ] of @wd . human ( ) filter id == " Q4956689 " ^^wd:human ;
WebQTrn-300	where is the ottoman empire located ?	[ country ] of @wd . administrative_territorial_entity ( ) filter id == " Q12560 " ^^wd:administrative_territorial_entity ;
WebQTrn-302	who are the green bay packers owned by ?	[ owned_by ] of @wd . sports_team ( ) filter id == " Q213837 " ^^wd:sports_team ;
WebQTrn-303	what inspired langston hughes to write poetry ?	[ influenced_by ] of @wd . human ( ) filter id == " Q188093 " ^^wd:human ;
WebQTrn-313	what countries make up continental europe ?	[ < has_parts + > : Entity ( wd:country ) ] of @wd . location ( ) filter id == " Q46 " ^^wd:location ;
WebQTrn-322	where does leland chapman live now ?	[ residence ] of @wd . human ( ) filter id == " Q1474347 " ^^wd:human ;
WebQTrn-329	who voiced meg in the pilot ?	[ voice_actor filter character_role == " Q908772 " ^^wd:p_character_role ] of @wd . television_series_season ( ) filter id == " Q38374 " ^^wd:television_series_season ;
WebQTrn-334	who is the voice of stewie griffin from family guy ?	[ voice_actor filter character_role == " Q837909 " ^^wd:p_character_role ] of @wd . television_series ( ) filter id == " Q5930 " ^^wd:television_series ;
WebQTrn-338	when did joe walsh leave the eagles ?	[ end_time of ( member_of filter value == " Q189635 " ^^wd:p_member_of ) ] of @wd . human ( ) filter id == " Q354033 " ^^wd:human ;
WebQTrn-341	who does billy beane work for now ?	[ employer ] of @wd . human ( ) filter id == " Q26122 " ^^wd:human ;
WebQTrn-342	what subatomic particles did jj thomson discover ?	@wd . entity ( ) filter contains ( < subclass_of * > , " Q43116 " ^^wd:p_subclass_of ) && contains ( discoverer_or_inventor , " Q47285 " ^^wd:p_discoverer_or_inventor ) ;
WebQTrn-346	who played the voice of aladdin ?	[ voice_actor filter character_role == " Q1358109 " ^^wd:p_character_role ] of @wd . entity ( ) ;
WebQTrn-348	what year did miami heat win the championship ?	[ point_in_time ] of sort ( point_in_time desc of @wd . entity ( ) filter instance_of == " Q842375 " ^^wd:entity_subdomain && contains ( winner , " Q169138 " ^^wd:p_winner ) ) [ 1 ] ;
WebQTrn-360	what did kate winslet get an oscar for ?	@wd . entity ( ) filter contains ( winner , " Q202765 " ^^wd:p_winner ) && instance_of == " Q19020 " ^^wd:entity_subdomain ;
WebQTrn-361	what company did henry ford work for ?	[ employer ] of @wd . human ( ) filter id == " Q8768 " ^^wd:human ;
WebQTrn-372	what do catholics call their god ?	@wd . entity ( ) filter contains ( part_of , " Q825 " ^^wd:p_part_of ) ;
WebQTrn-375	what college did jeff corwin go to ?	[ educated_at : Entity ( wd:higher_education_institution ) ] of @wd . human ( ) filter id == " Q770523 " ^^wd:human ;
