WebQTrn-1880	what disease did abe lincoln have ?	[ medical_condition ] of @wd . human ( ) filter id == " Q91 " ^^wd:human ;
WebQTrn-1884	what represents ghana ?	[ official_symbol ] of @wd . country ( ) filter id == " Q117 " ^^wd:country ;
WebQTrn-1888	when did carolina hurricanes win the cup ?	[ point_in_time ] of sort ( point_in_time desc of @wd . entity ( ) filter instance_of == " Q211872 " ^^wd:entity_subdomain && contains ( winner , " Q201857 " ^^wd:p_winner ) ) [ 1 ] ;
WebQTrn-1890	who currently owns the steelers ?	[ owned_by ] of @wd . sports_team ( ) filter id == " Q191477 " ^^wd:sports_team ;
WebQTrn-1898	which countries share borders with spain ?	[ shares_border_with ] of @wd . administrative_territorial_entity ( ) filter id == " Q29 " ^^wd:administrative_territorial_entity ;
WebQTrn-1907	where did david duke go to college ?	[ educated_at : Entity ( wd:higher_education_institution ) ] of @wd . human ( ) filter id == " Q163042 " ^^wd:human ;
WebQTrn-1925	where donald trump went to college ?	[ educated_at : Entity ( wd:higher_education_institution ) ] of @wd . human ( ) filter id == " Q22686 " ^^wd:human ;
WebQTrn-1943	what division is cincinnati bengals in ?	[ part_of ] of @wd . entity ( ) filter id == " Q223511 " ^^wd:entity ;
WebQTrn-1946	what countries include western europe ?	[ has_parts ] of @wd . location ( ) filter id == " Q27496 " ^^wd:location ;
WebQTrn-1949	what is the legislature of missouri called ?	[ legislative_body ] of @wd . administrative_territorial_entity ( ) filter id == " Q1581 " ^^wd:administrative_territorial_entity ;
WebQTrn-1952	what college did jerry rice attend ?	[ educated_at : Entity ( wd:higher_education_institution ) ] of @wd . human ( ) filter id == " Q505423 " ^^wd:human ;
WebQTrn-1953	who is liz lemon marrying on 30 rock ?	[ spouse ] of @wd . fictional_character ( ) filter id == " Q3835664 " ^^wd:fictional_character ;
WebQTrn-1957	where did the name rome come from ?	[ named_after ] of @wd . city ( ) filter id == " Q220 " ^^wd:city ;
WebQTrn-1989	what country was the treaty of versailles written ?	[ country ] of @wd . statute ( ) filter id == " Q8736 " ^^wd:statute ;
WebQTrn-1995	where did sir ernest shackleton live ?	[ residence ] of @wd . human ( ) filter id == " Q957543 " ^^wd:human ;
WebQTrn-1997	where did the welsh language originate from ?	[ subclass_of ] of @wd . entity ( ) filter id == " Q9309 " ^^wd:entity ;
WebQTrn-2001	who did alf ' s voice ?	[ voice_actor filter character_role == " Q264221 " ^^wd:p_character_role ] of @wd . entity ( ) ;
WebQTrn-2008	where did chickasaw indians live ?	[ residence ] of @wd . entity ( ) filter id == " Q622728 " ^^wd:entity ;
WebQTrn-2013	what time is world cup soccer ?	[ event_interval ] of @wd . entity ( ) filter id == " Q19317 " ^^wd:entity ;
WebQTrn-2016	where does selena gomez live right now 2010 ?	[ residence ] of @wd . human ( ) filter id == " Q83287 " ^^wd:human ;
WebQTrn-2017	who is the member of rajya sabha ?	@wd . entity ( ) filter contains ( position_held , " Q244730 " ^^wd:p_position_held ) ;
WebQTrn-2022	what other writers influenced charles dickens ?	[ influenced_by ] of @wd . human ( ) filter id == " Q5686 " ^^wd:human && contains ( influenced_by , any ( [ id ] of @wd . entity ( ) filter contains ( occupation , " Q36180 " ^^wd:p_occupation ) ) ) ;
WebQTrn-2029	where was battle of verdun located ?	[ location ] of @wd . entity ( ) filter id == " Q130847 " ^^wd:entity ;
WebQTrn-2035	where did paul rudd go to high school ?	[ educated_at : Entity ( wd:high_school ) ] of @wd . human ( ) filter id == " Q276525 " ^^wd:human ;
WebQTrn-2045	who won american idol 2006 season 5 ?	[ winner ] of @wd . entity ( ) filter id == " Q2666341 " ^^wd:entity ;
