WebQTrn-3401	what are the two major religions in canada ?	[ religion_or_worldview ] of ( @wd . entity ( ) filter id == " Q16 " ^^wd:entity ) [ 2 ] ;
WebQTrn-3405	who plays stewie griffin ' s voice ?	[ voice_actor filter character_role == " Q837909 " ^^wd:p_character_role ] of @wd . entity ( ) ;
WebQTrn-3407	what are the mountains in peru called ?	@wd . landform ( ) filter contains ( country , " Q419 " ^^wd:p_country ) && instance_of == " Q46831 " ^^wd:landform_subdomain ;
WebQTrn-3409	what is south america made up of ?	[ has_parts ] of @wd . location ( ) filter id == " Q18 " ^^wd:location ;
WebQTrn-3413	what office does paul ryan hold ?	[ position_held ] of @wd . human ( ) filter id == " Q203966 " ^^wd:human && contains ( position_held , any ( [ id ] of @wd . entity ( ) filter contains ( < instance_of * / subclass_of * > , " Q294414 " ^^wd:p_subclass_of ) ) ) ;
WebQTrn-3415	what country is the iberian peninsula located in ?	[ country ] of @wd . landform ( ) filter id == " Q12837 " ^^wd:landform ;
WebQTrn-3421	who is jojo simmons mother ?	[ mother ] of @wd . human ( ) filter id == " Q742642 " ^^wd:human ;
WebQTrn-3425	what country was osama bin laden killed in ?	[ country ] of @wd . entity ( ) filter in_array ( id , any ( [ place_of_death ] of @wd . human ( ) filter id == " Q1317 " ^^wd:human ) ) ;
WebQTrn-3432	what happened to rev . robert schuller ?	[ cause_of_death ] of @wd . human ( ) filter id == " Q713089 " ^^wd:human ;
WebQTrn-3433	who plays the voice of meg in family guy ?	[ voice_actor filter character_role == " Q908772 " ^^wd:p_character_role ] of @wd . television_series ( ) filter id == " Q5930 " ^^wd:television_series ;
WebQTrn-3447	what island is bethany hamilton from ?	[ place_of_birth ] of @wd . human ( ) filter id == " Q234216 " ^^wd:human ;
WebQTrn-3448	what is paige halliwell ' s powers ?	[ superhuman_feature_or_ability ] of @wd . fictional_character ( ) filter id == " Q60685 " ^^wd:fictional_character ;
WebQTrn-3453	where did nadia boulanger live ?	[ residence ] of @wd . human ( ) filter id == " Q140619 " ^^wd:human ;
WebQTrn-3460	what country is beside france ?	[ shares_border_with ] of @wd . country ( ) filter id == " Q142 " ^^wd:country ;
WebQTrn-3462	what is there to do in montpelier vt ?	@wd . tourist_attraction ( ) filter contains ( located_in_the_administrative_territorial_entity , " Q26426 " ^^wd:p_located_in_the_administrative_territorial_entity ) ;
WebQTrn-3466	in which city was president kennedy killed ?	[ located_in_the_administrative_territorial_entity ] of @wd . entity ( ) filter in_array ( id , any ( [ place_of_death ] of @wd . human ( ) filter id == " Q9696 " ^^wd:human ) ) ;
WebQTrn-3483	who are the players on the toronto maple leafs ?	@wd . entity ( ) filter contains ( member_of_sports_team , " Q203384 " ^^wd:p_member_of_sports_team ) ;
WebQTrn-3487	where did paul ryan live ?	[ residence ] of @wd . human ( ) filter id == " Q203966 " ^^wd:human ;
WebQTrn-3492	what is tibetan language ?	[ language_of_work_or_name ] of @wd . entity ( ) filter id == " Q46861 " ^^wd:entity ;
WebQTrn-3494	when did maria sharapova start playing tennis ?	[ start_time of ( occupation filter value == " Q10833314 " ^^wd:p_occupation ) ] of @wd . human ( ) filter id == " Q11666 " ^^wd:human ;
WebQTrn-3500	who was the voice of simba ?	[ voice_actor filter character_role == " Q1649583 " ^^wd:p_character_role ] of @wd . entity ( ) ;
WebQTrn-3515	where did paul ryan attend college ?	[ educated_at : Entity ( wd:higher_education_institution ) ] of @wd . human ( ) filter id == " Q203966 " ^^wd:human ;
WebQTrn-3518	when was george h . w . bush elected president ?	[ start_time of ( position_held filter value == " Q1467287 " ^^wd:p_position_held ) ] of @wd . human ( ) filter id == " Q23505 " ^^wd:human ;
WebQTrn-3521	where the seneca indians lived ?	[ location ] of @wd . entity ( ) filter id == " Q213422 " ^^wd:entity ;
WebQTrn-3527	what language did ancient romans write in ?	[ language_used ] of @wd . entity ( ) filter id == " Q2277 " ^^wd:entity ;
WebQTrn-3535	who does the voice of kovu in lion king ?	[ voice_actor filter character_role == " Q10314672 " ^^wd:p_character_role ] of @wd . film ( ) filter id == " Q191803 " ^^wd:film ;
WebQTrn-3546	what events does stephanie rice compete in ?	[ participant_in : Entity ( wd:sports_competition ) ] of @wd . human ( ) filter id == " Q228660 " ^^wd:human ;
WebQTrn-3548	where did charlton heston live ?	[ residence ] of @wd . human ( ) filter id == " Q80739 " ^^wd:human ;
WebQTrn-3549	where did hurricane irene ?	[ country ] of @wd . entity ( ) filter id == " Q187621 " ^^wd:entity ;
WebQTrn-3550	what region is thailand located in ?	[ part_of ] of @wd . country ( ) filter id == " Q869 " ^^wd:country ;
