WebQTrn-2890	what teams are left in the nfl ?	[ < has_parts + > : Entity ( wd:american_football_team ) ] of @wd . sports_organization ( ) filter id == " Q1215884 " ^^wd:sports_organization ;
WebQTrn-2892	what type of business is mitt romney in ?	[ industry ] of @wd . entity ( ) filter in_array ( id , any ( [ employer ] of @wd . human ( ) filter id == " Q4496 " ^^wd:human ) ) ;
WebQTrn-2896	what countries are included in the continent of asia ?	[ < has_parts + > : Entity ( wd:country ) ] of @wd . location ( ) filter id == " Q48 " ^^wd:location ;
WebQTrn-2897	who owns wikimedia foundation ?	[ founded_by ] of @wd . organization ( ) filter id == " Q180 " ^^wd:organization ;
WebQTrn-2899	when did miami dolphins win super bowl ?	[ point_in_time ] of @wd . entity ( ) filter instance_of == " Q32096 " ^^wd:entity_subdomain && contains ( winner , " Q223243 " ^^wd:p_winner ) ;
WebQTrn-2903	what country columbus was born ?	[ country ] of @wd . entity ( ) filter in_array ( id , any ( [ place_of_birth ] of @wd . human ( ) filter id == " Q7322 " ^^wd:human ) ) ;
WebQTrn-2905	what bella name her baby ?	[ child ] of @wd . fictional_character ( ) filter id == " Q223757 " ^^wd:fictional_character ;
WebQTrn-2911	what songs does katherine jenkins sing ?	@wd . entity ( ) filter contains ( performer , " Q272581 " ^^wd:p_performer ) ;
WebQTrn-2919	what time zone is maryville tn ?	[ located_in_time_zone ] of @wd . entity ( ) filter contains ( contains_administrative_territorial_entity , " Q1094500 " ^^wd:p_contains_administrative_territorial_entity ) ;
WebQTrn-2920	where does frida kahlo live now ?	[ residence ] of @wd . human ( ) filter id == " Q5588 " ^^wd:human ;
WebQTrn-2922	where did marco rubio go to college ?	[ educated_at : Entity ( wd:higher_education_institution ) ] of @wd . human ( ) filter id == " Q324546 " ^^wd:human ;
WebQTrn-2941	what is the state flower of pennsylvania ?	[ official_symbol filter object_has_role == " Q506 " ^^wd:p_object_has_role ] of @wd . entity ( ) filter id == " Q1400 " ^^wd:entity ;
WebQTrn-2955	what are countries in south asia ?	[ has_parts ] of @wd . location ( ) filter id == " Q771405 " ^^wd:location ;
WebQTrn-2956	where is the caribbean geographically located ?	[ part_of ] of @wd . location ( ) filter id == " Q664609 " ^^wd:location ;
WebQTrn-2963	what is the capital city of texas usa ?	[ capital ] of @wd . administrative_territorial_entity ( ) filter id == " Q1439 " ^^wd:administrative_territorial_entity ;
WebQTrn-2969	where was the vietnam war located ?	[ location ] of @wd . entity ( ) filter id == " Q8740 " ^^wd:entity ;
WebQTrn-2972	who is the owner of the philadelphia eagles ?	[ owned_by ] of @wd . sports_team ( ) filter id == " Q219714 " ^^wd:sports_team ;
WebQTrn-2973	where did giovanni da verrazano live ?	[ residence ] of @wd . human ( ) filter id == " Q147676 " ^^wd:human ;
WebQTrn-2978	when are the summer olympics held ?	[ point_in_time ] of @wd . entity ( ) filter in_array ( id , any ( [ has_parts ] of @wd . recurring_event ( ) filter id == " Q159821 " ^^wd:recurring_event ) ) ;
WebQTrn-2983	what country did the zulu live in ?	[ country ] of @wd . entity ( ) filter id == " Q10179 " ^^wd:entity ;
WebQTrn-2991	where did nick clegg go to prep school ?	[ educated_at : Entity ( wd:preparatory_school ) ] of @wd . human ( ) filter id == " Q189947 " ^^wd:human ;
WebQTrn-2994	which states share borders with virginia ?	[ shares_border_with ] of @wd . administrative_territorial_entity ( ) filter id == " Q1370 " ^^wd:administrative_territorial_entity ;
WebQTrn-2997	what college did edgar allan poe go to ?	[ educated_at : Entity ( wd:higher_education_institution ) ] of @wd . human ( ) filter id == " Q16867 " ^^wd:human ;
WebQTrn-3002	what town was abe lincoln born in ?	[ place_of_birth ] of @wd . human ( ) filter id == " Q91 " ^^wd:human ;
WebQTrn-3004	who did the voice of kitt in knight rider ?	[ voice_actor filter character_role == " Q1088996 " ^^wd:p_character_role ] of @wd . television_series ( ) filter id == " Q464009 " ^^wd:television_series ;
WebQTrn-3005	what challenges did helen keller have to face ?	[ medical_condition ] of @wd . human ( ) filter id == " Q38203 " ^^wd:human ;
WebQTrn-3012	what other countries share a border with china ?	[ shares_border_with ] of @wd . country ( ) filter id == " Q148 " ^^wd:country ;
WebQTrn-3013	who has the voice of stewie griffin ?	[ voice_actor filter character_role == " Q837909 " ^^wd:p_character_role ] of @wd . entity ( ) ;
WebQTrn-3018	who is jensen ackles in a relationship with ?	[ spouse ] of @wd . human ( ) filter id == " Q193513 " ^^wd:human ;
WebQTrn-3019	who is the voice actor for eric cartman ?	[ voice_actor filter character_role == " Q47352 " ^^wd:p_character_role ] of @wd . entity ( ) ;
WebQTrn-3020	what language do irish people speak ?	[ languages_spoken_written_or_signed ] of @wd . entity ( ) filter id == " Q170826 " ^^wd:entity ;
WebQTrn-3034	where did dr martin luther king get his doctorate ?	[ educated_at filter academic_degree == " Q752297 " ^^wd:p_academic_degree ] of @wd . human ( ) filter id == " Q8027 " ^^wd:human ;
WebQTrn-3036	who was the president of indian national congress ?	@wd . entity ( ) filter contains ( position_held , " Q7241327 " ^^wd:p_position_held ) ;
