WebQTrn-3227	what did skinner believe ?	[ religion_or_worldview ] of @wd . human ( ) filter id == " Q213195 " ^^wd:human ;
WebQTrn-3233	where did the founder of google go to college ?	[ educated_at : Entity ( wd:higher_education_institution ) ] of @wd . entity ( ) filter in_array ( id , any ( [ founded_by ] of @wd . organization ( ) filter id == " Q95 " ^^wd:organization ) ) ;
WebQTrn-3243	who does hank baskett play for now nov 2010 ?	[ member_of_sports_team ] of @wd . human ( ) filter id == " Q1433425 " ^^wd:human ;
WebQTrn-3251	what college is in greeley colorado ?	@wd . higher_education_institution ( ) filter contains ( located_in_the_administrative_territorial_entity , " Q94274 " ^^wd:p_located_in_the_administrative_territorial_entity ) ;
WebQTrn-3253	what is the official state flower of arizona ?	[ official_symbol filter object_has_role == " Q506 " ^^wd:p_object_has_role ] of @wd . entity ( ) filter id == " Q816 " ^^wd:entity ;
WebQTrn-3255	where is pyramids located in egypt ?	[ located_in_the_administrative_territorial_entity ] of @wd . entity ( ) filter instance_of == " Q12516 " ^^wd:entity_subdomain && contains ( country , " Q79 " ^^wd:p_country ) ;
WebQTrn-3256	what games did bungie make ?	@wd . entity ( ) filter contains ( developer , " Q735267 " ^^wd:p_developer ) ;
WebQTrn-3280	who owns the steelers football team ?	[ owned_by ] of @wd . sports_team ( ) filter id == " Q191477 " ^^wd:sports_team ;
WebQTrn-3300	where is rihanna from ethnically ?	[ ethnic_group ] of @wd . human ( ) filter id == " Q36844 " ^^wd:human ;
WebQTrn-3302	what did baron de montesquieu die from ?	[ cause_of_death ] of @wd . human ( ) filter id == " Q15975 " ^^wd:human ;
WebQTrn-3312	which legend of zelda game is the first ?	sort ( publication_date asc of @wd . entity ( ) filter contains ( part_of_the_series , " Q12393 " ^^wd:p_part_of_the_series ) ) [ 1 ] ;
WebQTrn-3315	what years have the steelers won the super bowl ?	[ point_in_time ] of @wd . entity ( ) filter instance_of == " Q32096 " ^^wd:entity_subdomain && contains ( winner , " Q191477 " ^^wd:p_winner ) ;
WebQTrn-3317	what countries does britain own ?	[ contains_administrative_territorial_entity ] of @wd . country ( ) filter id == " Q145 " ^^wd:country ;
WebQTrn-3322	what countries are on the mediterranean sea ?	[ country ] of @wd . sea ( ) filter id == " Q4918 " ^^wd:sea ;
WebQTrn-3329	where does jamie chung live ?	[ residence ] of @wd . human ( ) filter id == " Q232642 " ^^wd:human ;
WebQTrn-3334	who voices ray in archer ?	[ voice_actor filter character_role == " Q632670 " ^^wd:p_character_role ] of @wd . entity ( ) ;
WebQTrn-3343	what cities are included in maricopa county ?	@wd . city ( ) filter contains ( located_in_the_administrative_territorial_entity , " Q58691 " ^^wd:p_located_in_the_administrative_territorial_entity ) ;
WebQTrn-3344	where did frank baum live ?	[ residence ] of @wd . human ( ) filter id == " Q207544 " ^^wd:human ;
WebQTrn-3348	what characters does todd haberkorn voice ?	[ character_role of ( voice_actor filter value == " Q7812408 " ^^wd:p_voice_actor ) ] of @wd . entity ( ) ;
WebQTrn-3357	what albums did john frusciante play on ?	@wd . entity ( ) filter contains ( performer , " Q188980 " ^^wd:p_performer ) && instance_of == " Q482994 " ^^wd:entity_subdomain ;
WebQTrn-3359	what did martin luther king jr do in his life ?	[ movement ] of @wd . human ( ) filter id == " Q8027 " ^^wd:human ;
WebQTrn-3391	when was the first pope of the catholic church ?	[ inception ] of @wd . entity ( ) filter id == " Q19546 " ^^wd:entity ;
