WebQTrn-2232	who did deborah sampson married ?	[ spouse ] of @wd . human ( ) filter id == " Q3020894 " ^^wd:human ;
WebQTrn-2246	what country surrounds spain ?	[ shares_border_with ] of @wd . administrative_territorial_entity ( ) filter id == " Q29 " ^^wd:administrative_territorial_entity ;
WebQTrn-2255	who invented morse code ?	[ discoverer_or_inventor ] of @wd . entity ( ) filter id == " Q79897 " ^^wd:entity ;
WebQTrn-2260	where did william howard taft go to high school ?	[ educated_at : Entity ( wd:high_school ) ] of @wd . human ( ) filter id == " Q35648 " ^^wd:human ;
WebQTrn-2266	what two countries share a border with the great lakes ?	[ country ] of ( @wd . body_of_water ( ) filter id == " Q7347 " ^^wd:body_of_water ) [ 2 ] ;
WebQTrn-2269	where did jackie kennedy go to college ?	[ educated_at : Entity ( wd:higher_education_institution ) ] of @wd . human ( ) filter id == " Q165421 " ^^wd:human ;
WebQTrn-2271	what religion does tom cruise follow ?	[ religion_or_worldview ] of @wd . human ( ) filter id == " Q37079 " ^^wd:human ;
WebQTrn-2278	where did ayn rand live ?	[ residence ] of @wd . human ( ) filter id == " Q132524 " ^^wd:human ;
WebQTrn-2279	when was the civil war in libya ?	[ start_time ] of @wd . entity ( ) filter id == " Q81545 " ^^wd:entity ;
WebQTrn-2282	what influenced roy lichtenstein artwork ?	[ influenced_by ] of @wd . human ( ) filter id == " Q151679 " ^^wd:human ;
WebQTrn-2284	which countries border lake victoria ?	[ country ] of @wd . lake ( ) filter id == " Q5505 " ^^wd:lake ;
WebQTrn-2294	who is steve nash married to ?	[ spouse ] of @wd . human ( ) filter id == " Q192955 " ^^wd:human ;
WebQTrn-2302	what continent is australia in ?	[ continent ] of @wd . country ( ) filter id == " Q408 " ^^wd:country ;
WebQTrn-2304	where is spanish springs nv ?	[ located_in_the_administrative_territorial_entity ] of @wd . location ( ) filter id == " Q376269 " ^^wd:location ;
WebQTrn-2307	where did richard nixon go to high school ?	[ educated_at : Entity ( wd:high_school ) ] of @wd . human ( ) filter id == " Q9588 " ^^wd:human ;
WebQTrn-2308	who stars in the movie fred claus ?	[ cast_member ] of @wd . film ( ) filter id == " Q1212854 " ^^wd:film ;
WebQTrn-2310	where did madoff live ?	[ residence ] of @wd . human ( ) filter id == " Q14043 " ^^wd:human ;
WebQTrn-2316	what influenced jackson pollock ' s work ?	[ influenced_by ] of @wd . human ( ) filter id == " Q37571 " ^^wd:human ;
WebQTrn-2329	where did willy wonka take place ?	[ set_in_environment ] of @wd . entity ( ) filter id == " Q466605 " ^^wd:entity ;
WebQTrn-2336	what college did lee corso attend ?	[ educated_at : Entity ( wd:higher_education_institution ) ] of @wd . human ( ) filter id == " Q6513335 " ^^wd:human ;
WebQTrn-2348	what state is george washington university located in ?	[ located_in_the_administrative_territorial_entity ] of @wd . higher_education_institution ( ) filter id == " Q432637 " ^^wd:higher_education_institution ;
WebQTrn-2352	who are the judges of the supreme court ?	@wd . entity ( ) filter contains ( position_held , any ( [ id ] of @wd . entity ( ) filter contains ( subclass_of , " Q20706330 " ^^wd:p_subclass_of ) ) ) ;
WebQTrn-2354	what years have the ravens won the super bowl ?	[ point_in_time ] of @wd . entity ( ) filter instance_of == " Q32096 " ^^wd:entity_subdomain && contains ( winner , " Q276539 " ^^wd:p_winner ) ;
WebQTrn-2357	who was leonardo da vinci teacher ?	[ student_of ] of @wd . human ( ) filter id == " Q762 " ^^wd:human ;
WebQTrn-2358	where did newt gingrich attend college ?	[ educated_at : Entity ( wd:higher_education_institution ) ] of @wd . human ( ) filter id == " Q182788 " ^^wd:human ;
WebQTrn-2361	where did joe namath attend college ?	[ educated_at : Entity ( wd:higher_education_institution ) ] of @wd . human ( ) filter id == " Q720558 " ^^wd:human ;
WebQTrn-2365	what does beth tweddle compete in ?	[ sport ] of @wd . entity ( ) filter id == " Q259259 " ^^wd:entity ;
WebQTrn-2372	when did kennedy get elected ?	[ start_time of ( position_held filter value == " Q1467287 " ^^wd:p_position_held ) ] of @wd . human ( ) filter id == " Q9696 " ^^wd:human ;
WebQTrn-2391	what religion is sammy davis jr ?	[ religion_or_worldview ] of @wd . human ( ) filter id == " Q297816 " ^^wd:human ;
