WebQTrn-1129	where did the cuban missile crisis happen ?	[ location ] of @wd . entity ( ) filter id == " Q128160 " ^^wd:entity ;
WebQTrn-1131	where is the original mona lisa ?	[ location ] of @wd . painting ( ) filter id == " Q12418 " ^^wd:painting ;
WebQTrn-1136	what kind of books does nicholas sparks wrote ?	[ genre ] of @wd . human ( ) filter id == " Q219377 " ^^wd:human ;
WebQTrn-1138	what countries has spanish as their official language ?	@wd . country ( ) filter contains ( official_language , " Q1321 " ^^wd:p_official_language ) ;
WebQTrn-1156	what state did george washington live in ?	[ residence ] of @wd . human ( ) filter id == " Q23 " ^^wd:human ;
WebQTrn-1158	where is kia car from ?	[ country ] of @wd . organization ( ) filter id == " Q35349 " ^^wd:organization ;
WebQTrn-1162	what countries does the mississippi river run through ?	[ country ] of @wd . river ( ) filter id == " Q1497 " ^^wd:river ;
WebQTrn-1163	in what modern country is the yucatan peninsula located ?	[ country ] of @wd . landform ( ) filter id == " Q130978 " ^^wd:landform ;
WebQTrn-1164	what does starbucks sell ?	[ product_or_material_produced ] of @wd . organization ( ) filter id == " Q37158 " ^^wd:organization ;
WebQTrn-1186	what did copernicus invented ?	@wd . entity ( ) filter contains ( discoverer_or_inventor , " Q619 " ^^wd:p_discoverer_or_inventor ) ;
WebQTrn-1192	what country is the mekong river located in ?	[ country ] of @wd . river ( ) filter id == " Q41179 " ^^wd:river ;
WebQTrn-1202	what market does starbucks operate in ?	[ product_or_material_produced ] of @wd . organization ( ) filter id == " Q37158 " ^^wd:organization ;
WebQTrn-1203	what country does nike operate in ?	[ country ] of @wd . entity ( ) filter in_array ( id , any ( [ headquarters_location ] of @wd . organization ( ) filter id == " Q483915 " ^^wd:organization ) ) ;
WebQTrn-1204	what cities are in oakland county michigan ?	@wd . city ( ) filter contains ( located_in_the_administrative_territorial_entity , " Q498024 " ^^wd:p_located_in_the_administrative_territorial_entity ) ;
WebQTrn-1206	where will euro 2012 be ?	[ location ] of @wd . recurring_event ( ) filter id == " Q22669 " ^^wd:recurring_event ;
WebQTrn-1207	who the voice of lois griffin ?	[ voice_actor filter character_role == " Q853073 " ^^wd:p_character_role ] of @wd . entity ( ) ;
WebQTrn-1220	when is the last time the chicago bulls won a championship ?	[ point_in_time ] of sort ( point_in_time desc of @wd . entity ( ) filter instance_of == " Q842375 " ^^wd:entity_subdomain && contains ( winner , " Q128109 " ^^wd:p_winner ) ) [ 1 ] ;
WebQTrn-1223	what teams did george steinbrenner own ?	[ owner_of ] of @wd . human ( ) filter id == " Q220210 " ^^wd:human ;
WebQTrn-1225	what to see and do in revelstoke ?	@wd . tourist_attraction ( ) filter contains ( located_in_the_administrative_territorial_entity , " Q1893229 " ^^wd:p_located_in_the_administrative_territorial_entity ) ;
WebQTrn-1229	what was nicolaus copernicus discovery ?	@wd . entity ( ) filter contains ( discoverer_or_inventor , " Q619 " ^^wd:p_discoverer_or_inventor ) ;
WebQTrn-1230	where did the tutsi come from ?	[ country ] of @wd . entity ( ) filter id == " Q193092 " ^^wd:entity ;
WebQTrn-1232	where was the roman empire centered ?	[ capital ] of @wd . entity ( ) filter id == " Q2277 " ^^wd:entity ;
WebQTrn-1234	which ocean does the murray river flow into ?	[ mouth_of_the_watercourse ] of @wd . river ( ) filter id == " Q183078 " ^^wd:river ;
WebQTrn-1237	where does peter king live ?	[ residence ] of @wd . human ( ) filter id == " Q7175203 " ^^wd:human ;
WebQTrn-1238	what are west african countries ?	[ has_parts ] of @wd . location ( ) filter id == " Q4412 " ^^wd:location ;
WebQTrn-1254	where was the gallipoli campaign waged ?	[ location ] of @wd . entity ( ) filter id == " Q164983 " ^^wd:entity ;
WebQTrn-1255	what was lincoln ' s wife ' s name ?	[ spouse ] of @wd . human ( ) filter id == " Q91 " ^^wd:human ;
WebQTrn-1259	where did brad paisley graduate from college ?	[ educated_at : Entity ( wd:higher_education_institution ) ] of @wd . human ( ) filter id == " Q39639 " ^^wd:human ;
WebQTrn-1269	who is liz lemon getting married to ?	[ spouse ] of @wd . fictional_character ( ) filter id == " Q3835664 " ^^wd:fictional_character ;
WebQTrn-1272	when is wimbledon tennis tournament ?	[ start_time ] of sort ( start_time desc of @wd . event ( ) filter instance_of == " Q41520 " ^^wd:event_subdomain ) [ 1 ] ;
