WebQTrn-981	what does latin america consist of ?	[ has_parts ] of @wd . location ( ) filter id == " Q12585 " ^^wd:location ;
WebQTrn-982	who is the manager of the st louis cardinals ?	[ head_coach ] of @wd . sports_team ( ) filter id == " Q504309 " ^^wd:sports_team ;
WebQTrn-983	where in oregon was stand by me filmed ?	[ filming_location ] of @wd . film ( ) filter id == " Q494722 " ^^wd:film ;
WebQTrn-999	what influenced william morris to be an artist ?	[ influenced_by ] of @wd . human ( ) filter id == " Q182589 " ^^wd:human ;
WebQTrn-1004	which country uses euro as its main currency ?	@wd . country ( ) filter contains ( currency , " Q4916 " ^^wd:p_currency ) ;
WebQTrn-1008	what important office did abraham lincoln hold ?	[ position_held : Entity ( wd:public_office ) ] of @wd . human ( ) filter id == " Q91 " ^^wd:human ;
WebQTrn-1009	which country has adopted the euro as its currency ( 1 point ) ?	@wd . country ( ) filter contains ( currency , " Q4916 " ^^wd:p_currency ) ;
WebQTrn-1010	where did michael jordan play high school basketball ?	[ educated_at : Entity ( wd:high_school ) ] of @wd . human ( ) filter id == " Q41421 " ^^wd:human ;
WebQTrn-1018	when did manchester united first win a trophy ?	sort ( point_in_time asc of @wd . entity ( ) filter contains ( winner , " Q18656 " ^^wd:p_winner ) ) [ 1 ] ;
WebQTrn-1020	where is isthmus of panama located ?	[ country ] of @wd . landform ( ) filter id == " Q182139 " ^^wd:landform ;
WebQTrn-1029	what films did hans zimmer wrote music for ?	@wd . film ( ) filter contains ( performer , " Q76364 " ^^wd:p_performer ) ;
WebQTrn-1033	who did juan ponce de leon mary ?	[ spouse ] of @wd . human ( ) filter id == " Q185974 " ^^wd:human ;
WebQTrn-1040	what states does the connecticut river flow through ?	[ located_in_the_administrative_territorial_entity ] of @wd . river ( ) filter id == " Q379648 " ^^wd:river ;
WebQTrn-1043	where does mike leach coach ?	@wd . sports_team ( ) filter contains ( head_coach , " Q6847638 " ^^wd:p_head_coach ) ;
WebQTrn-1048	what to do in panama city beach fl ?	@wd . tourist_attraction ( ) filter contains ( located_in_the_administrative_territorial_entity , " Q1075852 " ^^wd:p_located_in_the_administrative_territorial_entity ) ;
WebQTrn-1054	who plays the voice of lois griffin ?	[ voice_actor filter character_role == " Q853073 " ^^wd:p_character_role ] of @wd . entity ( ) ;
WebQTrn-1061	what is chris paul ' s son name ?	[ child ] of @wd . human ( ) filter id == " Q46040 " ^^wd:human && contains ( child , any ( [ id ] of @wd . entity ( ) filter sex_or_gender == enum male ) ) ;
WebQTrn-1065	what is the state flag of colorado called ?	[ flag ] of @wd . administrative_territorial_entity ( ) filter id == " Q1261 " ^^wd:administrative_territorial_entity ;
WebQTrn-1075	what is lil wayne real name ?	[ birth_name ] of @wd . human ( ) filter id == " Q15615 " ^^wd:human ;
WebQTrn-1077	what religions are practiced in afghanistan ?	[ religion_or_worldview ] of @wd . entity ( ) filter id == " Q889 " ^^wd:entity ;
WebQTrn-1078	where is the world series 2012 being played ?	[ location ] of @wd . recurring_event ( ) filter id == " Q1190373 " ^^wd:recurring_event ;
WebQTrn-1079	what kind of language do irish speak ?	[ languages_spoken_written_or_signed ] of @wd . entity ( ) filter id == " Q170826 " ^^wd:entity ;
WebQTrn-1110	what language group does polish belong to ?	[ subclass_of ] of @wd . entity ( ) filter id == " Q809 " ^^wd:entity ;
WebQTrn-1112	what are five countries that border france ?	[ shares_border_with ] of ( @wd . country ( ) filter id == " Q142 " ^^wd:country ) [ 5 ] ;
WebQTrn-1117	where did sergio romo go to college ?	[ educated_at : Entity ( wd:higher_education_institution ) ] of @wd . human ( ) filter id == " Q3041597 " ^^wd:human ;
WebQTrn-1121	in what city did machiavelli live ?	[ residence ] of @wd . human ( ) filter id == " Q1399 " ^^wd:human ;
WebQTrn-1125	who was the voice of kitt ?	[ voice_actor filter character_role == " Q1088996 " ^^wd:p_character_role ] of @wd . entity ( ) ;
WebQTrn-1090	where do most chinese live ?	sort ( population desc of @wd . entity ( ) filter contains ( country , " Q148 " ^^wd:p_country ) ) [ 1 ] ;
