WebQTrn-2066	where was the gettysburg war located ?	[ location ] of @wd . entity ( ) filter id == " Q33132 " ^^wd:entity ;
WebQTrn-2072	who founded the new democratic party ?	[ founded_by ] of @wd . non_governmental_organization ( ) filter id == " Q129634 " ^^wd:non_governmental_organization ;
WebQTrn-2079	what years the steelers won the super bowl ?	[ point_in_time ] of @wd . entity ( ) filter instance_of == " Q32096 " ^^wd:entity_subdomain && contains ( winner , " Q191477 " ^^wd:p_winner ) ;
WebQTrn-2082	what countries are in the baltic region ?	@wd . country ( ) filter contains ( continent , " Q579938 " ^^wd:p_continent ) ;
WebQTrn-2086	what continent does the amazon river flow through ?	[ continent ] of @wd . river ( ) filter id == " Q3783 " ^^wd:river ;
WebQTrn-2087	what is a city in belgium ?	( @wd . city ( ) filter contains ( country , " Q31 " ^^wd:p_country ) ) [ 1 ] ;
WebQTrn-2096	who was donald duck ' s girlfriend ?	[ unmarried_partner ] of @wd . fictional_character ( ) filter id == " Q6550 " ^^wd:fictional_character ;
WebQTrn-2105	where ' s wayne state ?	[ located_in_the_administrative_territorial_entity ] of @wd . higher_education_institution ( ) filter id == " Q7976637 " ^^wd:higher_education_institution ;
WebQTrn-2119	what does bill gates own ?	[ owner_of ] of @wd . human ( ) filter id == " Q5284 " ^^wd:human ;
WebQTrn-2121	what are the two houses in congress ?	[ has_parts ] of @wd . government_organization ( ) filter id == " Q11268 " ^^wd:government_organization ;
WebQTrn-2127	who did georgia o ' keeffe inspired ?	@wd . entity ( ) filter contains ( influenced_by , " Q46408 " ^^wd:p_influenced_by ) ;
WebQTrn-2134	where did william mckinley go to high school ?	[ educated_at : Entity ( wd:high_school ) ] of @wd . human ( ) filter id == " Q35041 " ^^wd:human ;
WebQTrn-2139	when did shawn johnson won the gold medal ?	[ point_in_time of ( award_received filter value == " Q15243387 " ^^wd:p_award_received ) ] of @wd . human ( ) filter id == " Q229044 " ^^wd:human ;
WebQTrn-2150	what 3 countries does mexico border ?	[ shares_border_with ] of ( @wd . country ( ) filter id == " Q96 " ^^wd:country ) [ 3 ] ;
WebQTrn-2152	what teams are in the american league west ?	[ has_parts ] of @wd . sports_organization ( ) filter id == " Q1349939 " ^^wd:sports_organization ;
WebQTrn-2154	where does drogba play now ?	[ member_of_sports_team ] of @wd . human ( ) filter id == " Q48892 " ^^wd:human ;
WebQTrn-2155	who owns chrysler corporation 2012 ?	[ owned_by ] of @wd . organization ( ) filter id == " Q29610 " ^^wd:organization ;
WebQTrn-2162	in which country is mount everest found ?	[ country ] of @wd . mountain ( ) filter id == " Q513 " ^^wd:mountain ;
WebQTrn-2172	what school does bart simpson go to ?	[ educated_at ] of @wd . human ( ) filter id == " Q5480 " ^^wd:human ;
WebQTrn-2174	where was the battle of verdun ww1 ?	[ location ] of @wd . entity ( ) filter id == " Q130847 " ^^wd:entity ;
WebQTrn-2182	what college did ron jaworski go to ?	[ educated_at : Entity ( wd:higher_education_institution ) ] of @wd . human ( ) filter id == " Q1416079 " ^^wd:human ;
WebQTrn-2190	where does sam shepard live ?	[ residence ] of @wd . human ( ) filter id == " Q294583 " ^^wd:human ;
WebQTrn-2191	in what state was the air force academy established ?	[ located_in_the_administrative_territorial_entity : Entity ( wd:us_state ) ] of @wd . entity ( ) filter in_array ( id , any ( [ headquarters_location ] of @wd . entity ( ) filter id == " Q1331280 " ^^wd:entity ) ) ;
WebQTrn-2200	what school did burne hogarth establish ?	@wd . entity ( ) filter contains ( < instance_of / subclass_of + > , " Q2385804 " ^^wd:p_subclass_of ) && contains ( founded_by , " Q981472 " ^^wd:p_founded_by ) ;
WebQTrn-2209	when did the celtics win championship ?	[ point_in_time ] of @wd . entity ( ) filter instance_of == " Q842375 " ^^wd:entity_subdomain && contains ( winner , " Q131371 " ^^wd:p_winner ) ;
WebQTrn-2213	who did john paul jones fight for ?	[ military_branch ] of @wd . human ( ) filter id == " Q314333 " ^^wd:human ;
WebQTrn-2214	where does hudson river start ?	[ origin_of_the_watercourse ] of @wd . river ( ) filter id == " Q3140 " ^^wd:river ;
WebQTrn-2223	what year did steve nash play for the mavericks ?	[ start_time of ( member_of_sports_team filter value == " Q132893 " ^^wd:p_member_of_sports_team ) ] of @wd . human ( ) filter id == " Q192955 " ^^wd:human ;
WebQTrn-2230	where does don king live ?	[ residence ] of @wd . human ( ) filter id == " Q344977 " ^^wd:human ;
