WebQTrn-380	where did pavlova originate ?	[ country_of_origin ] of @wd . product ( ) filter id == " Q1419824 " ^^wd:product ;
WebQTrn-382	where did jack johnson go to high school ?	[ educated_at : Entity ( wd:high_school ) ] of @wd . human ( ) filter id == " Q297097 " ^^wd:human ;
WebQTrn-387	when was the last dallas cowboys super bowl win ?	[ point_in_time ] of sort ( point_in_time desc of @wd . entity ( ) filter instance_of == " Q32096 " ^^wd:entity_subdomain && contains ( winner , " Q204862 " ^^wd:p_winner ) ) [ 1 ] ;
WebQTrn-393	where did joe montana go to high school ?	[ educated_at : Entity ( wd:high_school ) ] of @wd . human ( ) filter id == " Q348011 " ^^wd:human ;
WebQTrn-395	where is the nation of palestine ?	[ continent ] of @wd . entity ( ) filter id == " Q23792 " ^^wd:entity ;
WebQTrn-397	what countries speak english primarily ?	[ country ] of @wd . entity ( ) filter id == " Q1860 " ^^wd:entity ;
WebQTrn-400	what state is harvard college located ?	[ located_in_the_administrative_territorial_entity : Entity ( wd:us_state ) ] of @wd . higher_education_institution ( ) filter id == " Q49123 " ^^wd:higher_education_institution ;
WebQTrn-405	what kind of government did the mali empire have ?	[ basic_form_of_government ] of @wd . country ( ) filter id == " Q912 " ^^wd:country ;
WebQTrn-410	where does drew gordon play ?	[ member_of_sports_team ] of @wd . human ( ) filter id == " Q247487 " ^^wd:human ;
WebQTrn-417	in which province is johannesburg ?	[ < part_of + > : Entity ( wd:province ) ] of @wd . city ( ) filter id == " Q34647 " ^^wd:city ;
WebQTrn-423	what to do in laughlin nevada ?	@wd . tourist_attraction ( ) filter contains ( located_in_the_administrative_territorial_entity , " Q594154 " ^^wd:p_located_in_the_administrative_territorial_entity ) ;
WebQTrn-427	what are the four nations of the uk ?	[ contains_administrative_territorial_entity ] of @wd . country ( ) filter id == " Q145 " ^^wd:country ;
WebQTrn-432	what year did lakers win championship ?	[ point_in_time ] of @wd . entity ( ) filter instance_of == " Q842375 " ^^wd:entity_subdomain && contains ( winner , " Q121783 " ^^wd:p_winner ) ;
WebQTrn-437	where was greenpeace an international environmental organization founded ?	[ location_of_formation ] of @wd . organization ( ) filter id == " Q81307 " ^^wd:organization ;
WebQTrn-442	who was the first leader of the afl ?	[ founded_by ] of @wd . sports_organization ( ) filter id == " Q464508 " ^^wd:sports_organization ;
WebQTrn-449	where did lee corso go to college ?	[ educated_at : Entity ( wd:higher_education_institution ) ] of @wd . human ( ) filter id == " Q6513335 " ^^wd:human ;
WebQTrn-450	who are the colorado eagles ?	[ instance_of ] of @wd . sports_team ( ) filter id == " Q661115 " ^^wd:sports_team ;
WebQTrn-452	where does lala anthony live ?	[ residence ] of @wd . human ( ) filter id == " Q129041 " ^^wd:human ;
WebQTrn-457	who did ayrton senna drive for ?	[ member_of_sports_team ] of @wd . human ( ) filter id == " Q10490 " ^^wd:human ;
WebQTrn-459	where is the best place to vacation in the dominican republic ?	@wd . tourist_attraction ( ) filter contains ( country , " Q786 " ^^wd:p_country ) ;
WebQTrn-463	where is the euro 2012 tournament ?	[ location ] of @wd . recurring_event ( ) filter id == " Q22669 " ^^wd:recurring_event ;
WebQTrn-465	what to see and do in malta ?	@wd . tourist_attraction ( ) filter contains ( country , " Q233 " ^^wd:p_country ) ;
WebQTrn-485	what team did tim tebow play for in college ?	[ member_of_sports_team : Entity ( wd:college_sports_team ) ] of @wd . human ( ) filter id == " Q517467 " ^^wd:human ;
WebQTrn-490	who are the broncos players ?	@wd . entity ( ) filter contains ( member_of_sports_team , " Q223507 " ^^wd:p_member_of_sports_team ) ;
WebQTrn-491	where do most of the people live in japan ?	sort ( population desc of @wd . city ( ) filter contains ( country , " Q17 " ^^wd:p_country ) ) [ 1 ] ;
WebQTrn-492	in what country do they speak basque ?	@wd . country ( ) filter contains ( language_used , " Q8752 " ^^wd:p_language_used ) ;
WebQTrn-493	where is belgium at ?	[ continent ] of @wd . country ( ) filter id == " Q31 " ^^wd:country ;
WebQTrn-498	what are the most common religions in the united states ?	[ religion_or_worldview ] of @wd . entity ( ) filter id == " Q30 " ^^wd:entity ;
WebQTrn-504	when did the houston rockets win the championship ?	[ point_in_time ] of @wd . entity ( ) filter instance_of == " Q842375 " ^^wd:entity_subdomain && contains ( winner , " Q161345 " ^^wd:p_winner ) ;
WebQTrn-505	where is mount whitney ?	[ located_in_the_administrative_territorial_entity ] of @wd . mountain ( ) filter id == " Q235539 " ^^wd:mountain ;
WebQTrn-511	where did drew stanton play in college ?	[ member_of_sports_team : Entity ( wd:college_sports_team ) ] of @wd . human ( ) filter id == " Q1258769 " ^^wd:human ;
WebQTrn-513	what countries fall in eastern europe ?	[ has_parts ] of @wd . location ( ) filter id == " Q27468 " ^^wd:location ;
WebQTrn-514	what are taylor swift ' s albums ?	@wd . entity ( ) filter contains ( performer , " Q26876 " ^^wd:p_performer ) && instance_of == " Q482994 " ^^wd:entity_subdomain ;
