WebQTrn-2393	who started google ?	[ founded_by ] of @wd . entity ( ) filter id == " Q9366 " ^^wd:entity ;
WebQTrn-2404	who is jason morgan married to in real life ?	[ spouse ] of @wd . fictional_character ( ) filter id == " Q6163143 " ^^wd:fictional_character ;
WebQTrn-2405	what is colorado ' s state flower ?	[ official_symbol filter object_has_role == " Q506 " ^^wd:p_object_has_role ] of @wd . entity ( ) filter id == " Q1261 " ^^wd:entity ;
WebQTrn-2431	what year did george washington become the president ?	[ start_time of ( position_held filter value == " Q11696 " ^^wd:p_position_held ) ] of @wd . human ( ) filter id == " Q23 " ^^wd:human ;
WebQTrn-2438	who is sherri shepherd ' s new husband ?	[ spouse ] of @wd . human ( ) filter id == " Q268549 " ^^wd:human ;
WebQTrn-2440	who the voice of peter griffin ?	[ voice_actor filter character_role == " Q28465 " ^^wd:p_character_role ] of @wd . entity ( ) ;
WebQTrn-2446	where does manny pacquiao live ?	[ residence ] of @wd . human ( ) filter id == " Q486359 " ^^wd:human ;
WebQTrn-2447	when were the duggar kids born ?	[ date_of_birth ] of @wd . entity ( ) filter in_array ( id , any ( [ child ] of @wd . human ( ) filter id == " Q6193704 " ^^wd:human ) ) ;
WebQTrn-2449	what four countries are in the united kingdom ?	[ contains_administrative_territorial_entity ] of @wd . country ( ) filter id == " Q145 " ^^wd:country ;
WebQTrn-2484	what all does stan kroenke own ?	[ owner_of ] of @wd . human ( ) filter id == " Q945207 " ^^wd:human ;
WebQTrn-2485	what countries does china border ?	[ shares_border_with ] of @wd . country ( ) filter id == " Q148 " ^^wd:country ;
WebQTrn-2501	who plays lois in family guy ?	[ voice_actor filter character_role == " Q853073 " ^^wd:p_character_role ] of @wd . television_series ( ) filter id == " Q5930 " ^^wd:television_series ;
WebQTrn-2502	what state did dwight d . eisenhower live in ?	[ located_in_the_administrative_territorial_entity : Entity ( wd:us_state ) ] of @wd . entity ( ) filter in_array ( id , any ( [ residence ] of @wd . human ( ) filter id == " Q9916 " ^^wd:human ) ) ;
WebQTrn-2506	what famous book did benjamin franklin wrote ?	@wd . entity ( ) filter contains ( author , " Q34969 " ^^wd:p_author ) ;
WebQTrn-2508	where did brian williams go to college ?	[ educated_at : Entity ( wd:higher_education_institution ) ] of @wd . human ( ) filter id == " Q459695 " ^^wd:human ;
WebQTrn-2517	when did hurricane irene hit ct ?	[ start_time ] of @wd . entity ( ) filter id == " Q187621 " ^^wd:entity ;
WebQTrn-2525	where did jerry spinelli go to college ?	[ educated_at : Entity ( wd:higher_education_institution ) ] of @wd . human ( ) filter id == " Q563118 " ^^wd:human ;
WebQTrn-2526	what is the zip code for cordova tn ?	[ postal_code ] of @wd . entity ( ) filter id == " Q5170040 " ^^wd:entity ;
WebQTrn-2536	what did ron howard direct ?	@wd . entity ( ) filter contains ( director , " Q103646 " ^^wd:p_director ) ;
WebQTrn-2540	what inspired monet ?	[ influenced_by ] of @wd . human ( ) filter id == " Q296 " ^^wd:human ;
WebQTrn-2542	where does kaka live ?	[ residence ] of @wd . human ( ) filter id == " Q531814 " ^^wd:human ;
WebQTrn-2548	what college did charles richard drew go to ?	[ educated_at : Entity ( wd:higher_education_institution ) ] of @wd . human ( ) filter id == " Q1065848 " ^^wd:human ;
WebQTrn-2556	what are some of the religions in australia ?	[ religion_or_worldview ] of @wd . entity ( ) filter id == " Q408 " ^^wd:entity ;
WebQTrn-2572	which states does the connecticut river flow through ?	[ located_in_the_administrative_territorial_entity ] of @wd . river ( ) filter id == " Q379648 " ^^wd:river ;
WebQTrn-2573	what are the biggest cities in illinois ?	sort ( population desc of @wd . city ( ) filter contains ( located_in_the_administrative_territorial_entity , " Q1204 " ^^wd:p_located_in_the_administrative_territorial_entity ) ) [ 1 ] ;
WebQTrn-2575	which province in canada is the most populated ?	sort ( population desc of @wd . organization ( ) filter instance_of == " Q11828004 " ^^wd:organization_subdomain ) [ 1 ] ;
