1	who was the doctoral supervisor of albert einstein ?	[ doctoral_advisor ] of @wd . entity ( ) filter id == " Q937 " ^^wd:entity ;
2	did kaurismäki ever win the grand prix at cannes ?	[ contains ( award_received , " Q844804 " ^^wd:entity ) ] of @wd . entity ( ) filter id == " Q276186 " ^^wd:entity ;
3	who wrote the song hotel california ?	[ composer ] of @wd . entity ( ) filter id == " Q780394 " ^^wd:entity ;
4	who was on the apollo 11 mission ?	[ crew_members ] of @wd . entity ( ) filter id == " Q43653 " ^^wd:entity ;
5	which electronics companies were founded in beijing ?	@wd . entity ( ) filter contains ( industry , " Q581105 " ^^wd:entity ) && contains ( location_of_formation , " Q956 " ^^wd:entity ) ;
6	what is in a chocolate chip cookie ?	[ has_parts ] of @wd . entity ( ) filter id == " Q14169302 " ^^wd:entity ;
7	was the wife of president lincoln called mary ?	[ contains~ ( spouse , " mary " ) ] of @wd . entity ( ) filter id == " Q91 " ^^wd:entity ;
8	how many movies did park chan-wook direct ?	count ( @wd . entity ( ) filter contains ( director , " Q315484 " ^^wd:entity ) ) ;
9	in which united states state is mount mckinley located ?	[ located_in_the_administrative_territorial_entity ] of @wd . entity ( ) filter id == " Q130018 " ^^wd:entity ;
10	which indian company has the most employees ?	sort ( employees desc of @wd . organization ( ) filter contains ( country , " Q668 " ^^wd:entity ) && instance_of == " Q4830453 " ^^wd:domain ) [ 1 ] ;
11	in which school did obama ' s wife study ?	[ < spouse / educated_at > ] of @wd . entity ( ) filter id == " Q76 " ^^wd:entity ;
12	where does piccadilly start ?	[ terminus ] of @wd . entity ( ) filter id == " Q1124023 " ^^wd:entity ;
13	what is the capital of cameroon ?	[ capital ] of @wd . entity ( ) filter id == " Q1009 " ^^wd:entity ;
14	when did the boston tea party take place ?	[ point_in_time ] of @wd . entity ( ) filter id == " Q19024 " ^^wd:entity ;
15	who played gus fring in breaking bad ?	[ cast_member filter character_role == " Q5620660 " ^^wd:entity ] of @wd . entity ( ) ;
16	who wrote harry potter ?	[ author ] of @wd . entity ( ) filter id == " Q8337 " ^^wd:entity ;
17	which actors play in big bang theory ?	[ cast_member ] of @wd . entity ( ) filter id == " Q8539 " ^^wd:entity ;
18	what is the largest country in the world ?	sort ( area desc of @wd . country ( ) ) [ 1 ] ;
19	which states border illinois ?	[ shares_border_with ] of @wd . entity ( ) filter id == " Q1204 " ^^wd:entity ;
20	how many goals did pelé score ?	count ( member_of_sports_team of @wd . entity ( ) filter id == " Q12897 " ^^wd:entity ) ;
21	who is the president of eritrea ?	[ head_of_state ] of @wd . entity ( ) filter id == " Q986 " ^^wd:entity ;
22	which computer scientist won an oscar ?	@wd . entity ( ) filter contains ( award_received , any ( [ id ] of @wd . event ( ) filter instance_of == " Q19020 " ^^wd:domain ) ) && contains ( occupation , " Q82594 " ^^wd:entity ) ;
23	who created family guy ?	[ creator ] of @wd . entity ( ) filter id == " Q5930 " ^^wd:entity ;
24	how many people live in poland ?	[ population ] of @wd . entity ( ) filter id == " Q36 " ^^wd:entity ;
25	to which party does the mayor of paris belong ?	[ < head_of_government / member_of_political_party > ] of @wd . entity ( ) filter id == " Q90 " ^^wd:entity ;
26	who does the voice of bart simpson ?	[ voice_actor ] of @wd . entity ( ) filter id == " Q5480 " ^^wd:entity ;
27	who composed the soundtrack for cameron ' s titanic ?	[ composer ] of @wd . entity ( ) filter id == " Q44578 " ^^wd:entity ;
28	when did boris becker end his active career ?	[ occupation . end_time ] of @wd . entity ( ) filter id == " Q76334 " ^^wd:entity ;
29	show me all basketball players that are higher than 2 meters .	@wd . entity ( ) filter contains ( occupation , " Q3665646 " ^^wd:entity ) && height >= 2 m ;
30	what country is sitecore from ?	[ country ] of @wd . entity ( ) filter id == " Q2663195 " ^^wd:entity ;
31	which country was bill gates born in ?	[ < place_of_birth / country > ] of @wd . entity ( ) filter id == " Q5284 " ^^wd:entity ;
32	who developed slack ?	@wd . entity ( ) filter contains ( product_or_material_produced , " Q17130715 " ^^wd:entity ) ;
33	in which city did nikos kazantzakis die ?	[ place_of_death ] of @wd . entity ( ) filter id == " Q214622 " ^^wd:entity ;
34	how many grand-children did jacques cousteau have ?	count ( @wd . human ( ) filter in_array ( id , any ( [ < child / child > ] of @wd . entity ( ) filter id == " Q83233 " ^^wd:entity ) ) ) ;
35	which films did stanley kubrick direct ?	@wd . entity ( ) filter contains ( director , " Q2001 " ^^wd:entity ) ;
36	does neymar play for real madrid ?	[ contains ( member_of_sports_team , " Q8682 " ^^wd:entity ) ] of @wd . entity ( ) filter id == " Q142794 " ^^wd:entity ;
37	how many seats does the home stadium of fc porto have ?	[ < home_venue / maximum_capacity > ] of @wd . entity ( ) filter id == " Q128446 " ^^wd:entity ;
38	show me all books in asimov ' s foundation series .	[ has_parts ] of @wd . entity ( ) filter id == " Q1564644 " ^^wd:entity ;
39	which movies star both liz taylor and richard burton ?	@wd . entity ( ) filter contains ( cast_member , " Q34851 " ^^wd:entity ) && contains ( cast_member , " Q151973 " ^^wd:entity ) ;
40	in which city are the headquarters of the united nations ?	[ located_in_the_administrative_territorial_entity : Entity ( wd:city ) ] of @wd . entity ( ) filter id == " Q11297 " ^^wd:entity ;
41	in which city was the president of montenegro born ?	[ < head_of_state / place_of_birth > : Entity ( wd:city ) ] of @wd . entity ( ) filter id == " Q236 " ^^wd:entity ;
42	which writers studied in istanbul ?	@wd . entity ( ) filter contains ( < educated_at / located_in_the_administrative_territorial_entity > , " Q406 " ^^wd:entity ) && contains ( occupation , " Q36180 " ^^wd:entity ) ;
43	who is the mayor of paris ?	[ head_of_government ] of @wd . entity ( ) filter id == " Q90 " ^^wd:entity ;
44	what is the full name of prince charles ?	[ family_name , given_name ] of @wd . entity ( ) filter id == " Q43274 " ^^wd:entity ;
45	what is the longest river in china ?	sort ( length desc of @wd . river ( ) filter contains ( country , " Q148 " ^^wd:entity ) ) [ 1 ] ;
46	who discovered ceres ?	[ discoverer_or_inventor ] of @wd . entity ( ) filter id == " Q596 " ^^wd:entity ;
47	when did princess diana die ?	[ date_of_death ] of @wd . entity ( ) filter id == " Q9685 " ^^wd:entity ;
48	which presidents were born in 1945 ?	@wd . human ( ) filter contains ( position_held , " Q30461 " ^^wd:entity ) && date_of_birth <= new Date ( 1945 ) + 1 year && date_of_birth >= new Date ( 1945 ) ;
49	give me all federal chancellors of germany .	@wd . entity ( ) filter contains ( position_held , " Q4970706 " ^^wd:entity ) ;
50	how many moons does mars have ?	[ child_astronomical_body ] of @wd . entity ( ) filter id == " Q111 " ^^wd:entity ;
